date,PM10,PM2_5
2022-04-03 00:00:03,12.6,3.8
2022-04-03 00:01:03,12.0,3.8
2022-04-03 00:02:03,13.2,3.7
2022-04-03 00:03:03,12.2,4.5
2022-04-03 00:04:03,12.5,4.1
2022-04-03 00:05:03,11.9,3.9
2022-04-03 00:06:03,11.4,3.7
2022-04-03 00:07:03,11.7,3.7
2022-04-03 00:08:03,13.6,4.1
2022-04-03 00:09:03,12.5,3.9
2022-04-03 00:10:03,12.9,3.9
2022-04-03 00:11:03,10.6,3.9
2022-04-03 00:12:03,12.5,4.0
2022-04-03 00:13:03,11.7,3.8
2022-04-03 00:14:03,12.7,4.4
2022-04-03 00:15:03,11.3,4.3
2022-04-03 00:16:03,12.0,4.0
2022-04-03 00:17:03,14.0,4.2
2022-04-03 00:18:03,12.0,4.0
2022-04-03 00:19:03,12.1,4.0
2022-04-03 00:20:03,13.5,3.9
2022-04-03 00:21:03,12.5,3.9
2022-04-03 00:22:03,12.7,3.8
2022-04-03 00:23:03,12.7,4.2
2022-04-03 00:24:03,11.5,3.6
2022-04-03 00:25:03,11.9,3.7
2022-04-03 00:26:03,12.4,3.7
2022-04-03 00:27:03,11.2,3.8
2022-04-03 00:28:03,12.1,3.8
2022-04-03 00:29:03,13.3,4.1
2022-04-03 00:30:03,12.9,4.0
2022-04-03 00:31:03,13.3,4.0
2022-04-03 00:32:03,13.1,4.1
2022-04-03 00:33:03,11.8,4.0
2022-04-03 00:34:03,12.2,4.0
2022-04-03 00:35:03,12.6,4.0
2022-04-03 00:36:03,13.8,4.1
2022-04-03 00:37:03,13.7,4.7
2022-04-03 00:38:03,12.6,4.3
2022-04-03 00:39:03,13.7,4.6
2022-04-03 00:40:03,13.6,4.4
2022-04-03 00:41:03,13.4,4.8
2022-04-03 00:42:03,14.6,4.8
2022-04-03 00:43:03,14.0,5.2
2022-04-03 00:44:03,15.4,4.8
2022-04-03 00:45:03,12.0,4.6
2022-04-03 00:46:03,11.8,4.3
2022-04-03 00:47:03,13.2,4.3
2022-04-03 00:48:02,15.4,4.6
2022-04-03 00:49:02,13.4,4.6
2022-04-03 00:50:02,13.4,4.7
2022-04-03 00:51:02,13.2,4.7
2022-04-03 00:52:02,11.7,4.7
2022-04-03 00:53:02,13.5,4.6
2022-04-03 00:54:02,16.4,4.6
2022-04-03 00:55:02,13.5,4.9
2022-04-03 00:56:02,12.9,4.8
2022-04-03 00:57:02,13.7,4.9
2022-04-03 00:58:03,12.4,4.7
2022-04-03 00:59:02,17.8,5.0
2022-04-03 01:00:03,14.3,4.5
2022-04-03 01:01:03,14.1,4.7
2022-04-03 01:02:03,15.7,4.8
2022-04-03 01:03:03,13.3,5.0
2022-04-03 01:04:03,14.6,5.2
2022-04-03 01:05:03,13.4,5.2
2022-04-03 01:06:03,14.9,5.3
2022-04-03 01:07:03,12.5,4.7
2022-04-03 01:08:03,13.2,5.2
2022-04-03 01:09:03,14.6,5.3
2022-04-03 01:10:03,13.6,5.4
2022-04-03 01:11:03,15.0,5.3
2022-04-03 01:12:03,14.3,5.5
2022-04-03 01:13:03,16.2,6.1
2022-04-03 01:14:03,15.2,5.9
2022-04-03 01:15:03,15.7,5.6
2022-04-03 01:16:03,14.0,5.9
